"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"YI","111, Inc.","6.78","$552.87M","2018","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/yi",
"PIH","1347 Property Insurance Holdings, Inc.","4.12","$24.69M","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","19.75","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","1.82","$56.64M","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/turn",
"FLWS","1-800 FLOWERS.COM, Inc.","12.43","$797.74M","1999","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/flws",
"FCCY","1st Constitution Bancorp (NJ)","19.38","$162.88M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","42.49","$1.1B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","8.88","$993.5M","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/vnet",
"XXII","22nd Century Group, Inc","2.76","$343.35M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/xxii",
"TWOU","2U, Inc.","51.84","$3B","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/twou",
"QFIN","360 Finance, Inc.","14","$2.01B","2018","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/qfin",
"DDD","3D Systems Corporation","10.3","$1.18B","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ddd",
"MMM","3M Company","191.32","$111.4B","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/mmm",
"TPNL","3PEA International, Inc.","3.59","$166.58M","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/tpnl",
"WBAI","500.com Limited","8.8","$373.87M","2013","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/wbai",
"JOBS","51job, Inc.","62.42","$3.86B","2004","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/jobs",
"WUBA","58.com Inc.","56.89","$8.43B","2013","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/wuba",
"EGHT","8x8 Inc","18.58","$1.77B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/eght",
"AHC","A.H. Belo Corporation","3.95","$85.49M","n/a","Consumer Services","Newspapers/Magazines","https://www.nasdaq.com/symbol/ahc",
"ATEN","A10 Networks, Inc.","6.16","$454.6M","2014","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/aten",
"AAC","AAC Holdings, Inc.","1.86","$45.76M","2014","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/aac",
"AAON","AAON, Inc.","35.61","$1.86B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aaon",
"AIR","AAR Corp.","37.57","$1.32B","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","43.99","$3.19B","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aan",
"ABB","ABB Ltd","19.29","$41.12B","n/a","Consumer Durables","Electrical Products","https://www.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","68.11","$119.62B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","89.07","$133.98B","2012","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abbv",
"ABEO","Abeona Therapeutics Inc.","7.02","$336.57M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","3.25","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeow",
"ANF","Abercrombie & Fitch Company","19.97","$1.31B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/anf",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","3.95","$995.13M","1986","n/a","n/a","https://www.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","4.81","$109.39M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/iaf",
"AEF","Aberdeen Emerging Markets Equity Income Fund, Inc.","6.515","$394.15M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/aef",
"AGD","Aberdeen Global Dynamic Dividend Fund","8.66","$108.68M","2006","n/a","n/a","https://www.nasdaq.com/symbol/agd",
"FCO","Aberdeen Global Income Fund, Inc.","7.23","$63.08M","1992","n/a","n/a","https://www.nasdaq.com/symbol/fco",
"AWP","Aberdeen Global Premier Properties Fund","5.06","$432.16M","2007","n/a","n/a","https://www.nasdaq.com/symbol/awp",
"ACP","Aberdeen Income Credit Strategies Fund","10.82","$141.46M","2011","n/a","n/a","https://www.nasdaq.com/symbol/acp",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","6.6","$88.37M","1992","n/a","n/a","https://www.nasdaq.com/symbol/jeq",
"AOD","Aberdeen Total Dynamic Dividend Fund","7.44","$800.49M","2007","n/a","n/a","https://www.nasdaq.com/symbol/aod",
"ABIL","Ability Inc.","1.9","$6.96M","2014","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/abil",
"ABMD","ABIOMED, Inc.","313.44","$14.12B","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/abmd",
"ABM","ABM Industries Incorporated","32.01","$2.11B","n/a","Finance","Diversified Commercial Services","https://www.nasdaq.com/symbol/abm",
"AXAS","Abraxas Petroleum Corporation","1.35","$224.92M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/axas",
"ACIU","AC Immune SA","10.05","$677M","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","38.44","$1.55B","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","2.99","$148.42M","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","26.14","$2.31B","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","17.57","$2.2B","2004","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acad",
"AKR","Acadia Realty Trust","24.36","$1.99B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/akr",
"ACST","Acasti Pharma, Inc.","0.9","$70.32M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","13.03","$706.21M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/axdx",
"XLRN","Acceleron Pharma Inc.","41.5","$1.92B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/xlrn",
"ACN","Accenture plc","141.07","$93.98B","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/acn",
"ANCX","Access National Corporation","23.04","$485.4M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/ancx",
"ACCO","Acco Brands Corporation","7.68","$789.04M","n/a","Consumer Durables","Publishing","https://www.nasdaq.com/symbol/acco",
"ARAY","Accuray Incorporated","3.43","$297.24M","2007","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","2.74","$169.63M","2011","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acrx",
"ACER","Acer Therapeutics Inc.","21.5","$216.14M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acer",
"ACET","Aceto Corporation","1.05","$32.3M","n/a","Health Care","Other Pharmaceuticals","https://www.nasdaq.com/symbol/acet",
"AKAO","Achaogen, Inc.","1.69","$77.94M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akao",
"ACHV","Achieve Life Sciences, Inc. ","1.35","$9.07M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/achv",
"ACHN","Achillion Pharmaceuticals, Inc.","1.8","$249.51M","2006","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","26.17","$3.04B","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/aciw",
"ACRS","Aclaris Therapeutics, Inc.","7.63","$312.34M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acrs",
"ACMR","ACM Research, Inc.","10.7","$171.24M","2017","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acmr",
"ACU","Acme United Corporation.","15.75","$53.06M","1988","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acu",
"ACNB","ACNB Corporation","38.84","$273.52M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","16.72","$795.18M","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/acor",
"ATV","Acorn International, Inc.","23.4938","$62.97M","2007","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/atv",
"ATNM","Actinium Pharmaceuticals, Inc.","0.4599","$53.21M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/atnm",
