"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"HEES","H&E Equipment Services, Inc.","22.22","$794.02M","2006","n/a","n/a","https://www.nasdaq.com/symbol/hees",
"HRB","H&R Block, Inc.","25.46","$5.23B","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/hrb",
"FUL","H. B. Fuller Company","43.47","$2.2B","n/a","Basic Industries","Home Furnishings","https://www.nasdaq.com/symbol/ful",
"HAE","Haemonetics Corporation","98.72","$5.1B","1991","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/hae",
"HLG","Hailiang Education Group Inc.","46.42","$1.2B","2015","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/hlg",
"HK","Halcon Resources Corporation","1.76","$282.78M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/hk",
"HK.WS","Halcon Resources Corporation","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hk.ws",
"HNRG","Hallador Energy Company","5.27","$159.03M","n/a","Energy","Coal Mining","https://www.nasdaq.com/symbol/hnrg",
"HAL","Halliburton Company","28.42","$24.9B","n/a","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/hal",
"HALL","Hallmark Financial Services, Inc.","10.66","$192.51M","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/hall",
"HALO","Halozyme Therapeutics, Inc.","14.72","$2.13B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/halo",
"HBK","Hamilton Bancorp, Inc.","13.92","$47.56M","2012","Finance","Savings Institutions","https://www.nasdaq.com/symbol/hbk",
"HBB","Hamilton Beach Brands Holding Company","23.4","$320.88M","2017","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/hbb",
"HLNE","Hamilton Lane Incorporated","36.92","$1.85B","2017","Finance","Investment Managers","https://www.nasdaq.com/symbol/hlne",
"HJLI","Hancock Jaffe Laboratories, Inc.","1.52","$17.81M","2018","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/hjli",
"HJLIW","Hancock Jaffe Laboratories, Inc.","0.48","n/a","2018","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/hjliw",
"HWC","Hancock Whitney Corporation","37.2","$3.17B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hwc",
"HWCPL","Hancock Whitney Corporation","24.7","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hwcpl",
"HBI","Hanesbrands Inc.","12.9","$4.65B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/hbi",
"HNGR","Hanger, Inc.","18.97","$699.01M","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/hngr",
"HAFC","Hanmi Financial Corporation","20.59","$654.36M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hafc",
"HASI","Hannon Armstrong Sustainable Infrastructure Capital, Inc.","20.99","$1.3B","2013","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/hasi",
"HQCL","Hanwha Q CELLS Co., Ltd. ","9.775","$813.78M","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/hqcl",
"HONE","HarborOne Bancorp, Inc.","16.28","$530.49M","2016","Finance","Major Banks","https://www.nasdaq.com/symbol/hone",
"HOG","Harley-Davidson, Inc.","34.68","$5.65B","n/a","Consumer Non-Durables","Motor Vehicles","https://www.nasdaq.com/symbol/hog",
"HLIT","Harmonic Inc.","4.84","$419.62M","1995","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/hlit",
"HMY","Harmony Gold Mining Company Limited","1.87","$995.19M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/hmy",
"HRS","Harris Corporation","132.92","$15.96B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/hrs",
"HROW","Harrow Health, Inc.","5.39","$125.47M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hrow",
"HSC","Harsco Corporation","20.29","$1.63B","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/hsc",
"HHS","Harte-Hanks, Inc.","3.4873","$21.81M","1993","Technology","Advertising","https://www.nasdaq.com/symbol/hhs",
"HGH","Hartford Financial Services Group, Inc. (The)","27.61","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/hgh",
"HIG","Hartford Financial Services Group, Inc. (The)","44.14","$15.83B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/hig",
"HIG.WS","Hartford Financial Services Group, Inc. (The)","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hig.ws",
"HIG^G","Hartford Financial Services Group, Inc. (The)","26.07","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hig^g",
"HFGIC","Hartford Funds NextShares Trust","100.1","$27.53M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hfgic",
"HBIO","Harvard Bioscience, Inc.","3.27","$121.95M","2000","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/hbio",
"HCAP","Harvest Capital Credit Corporation","10.47","$67.07M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hcap",
"HCAPZ","Harvest Capital Credit Corporation","24.833","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hcapz",
"HAS","Hasbro, Inc.","80.79","$10.22B","n/a","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/has",
"HVT.A","Haverty Furniture Companies, Inc.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hvt.a",
"HVT","Haverty Furniture Companies, Inc.","19.19","$397.99M","n/a","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/hvt",
"HE","Hawaiian Electric Industries, Inc.","35.76","$3.89B","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/he",
"HE^U","Hawaiian Electric Industries, Inc.","26.2226","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/he^u",
"HA","Hawaiian Holdings, Inc.","26.7","$1.32B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/ha",
"HWKN","Hawkins, Inc.","42.21","$452.52M","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/hwkn",
"HWBK","Hawthorn Bancshares, Inc.","22.09","$133.31M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/hwbk",
"HYAC","Haymaker Acquisition Corp.","10","$412.5M","2017","Finance","Business Services","https://www.nasdaq.com/symbol/hyac",
"HYACU","Haymaker Acquisition Corp.","10.5","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/hyacu",
"HYACW","Haymaker Acquisition Corp.","0.81","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/hyacw",
"HAYN","Haynes International, Inc.","28.72","$359.13M","2007","Capital Goods","Steel/Iron Ore","https://www.nasdaq.com/symbol/hayn",
"HCHC","HC2 Holdings, Inc.","2.91","$130.3M","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/hchc",
"HCA","HCA Healthcare, Inc.","123.39","$42.47B","2011","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/hca",
"HCI","HCI Group, Inc.","50.94","$467.41M","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/hci",
"HCP","HCP, Inc.","27.97","$13.36B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/hcp",
"HDS","HD Supply Holdings, Inc.","37.55","$6.69B","2013","Consumer Services","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/hds",
"HDB","HDFC Bank Limited","103.58","$93.86B","2001","Finance","Commercial Banks","https://www.nasdaq.com/symbol/hdb",
"HIIQ","Health Insurance Innovations, Inc.","27.09","$459.11M","2013","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/hiiq",
"HR","Healthcare Realty Trust Incorporated","28.5","$3.57B","1993","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/hr",
"HCSG","Healthcare Services Group, Inc.","40.49","$2.99B","1983","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/hcsg",
"HTA","Healthcare Trust of America, Inc.","25.24","$5.22B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/hta",
"HQY","HealthEquity, Inc.","58","$3.62B","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/hqy",
"HSTM","HealthStream, Inc.","24.44","$790.03M","2000","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/hstm",
"HTLD","Heartland Express, Inc.","18.53","$1.52B","1986","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/htld",
"HTLF","Heartland Financial USA, Inc.","45.14","$1.56B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/htlf",
"HTBX","Heat Biologics, Inc.","1.07","$34.73M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/htbx",
"HEBT","Hebron Technology Co., Ltd.","0.842","$13.7M","2016","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/hebt",
"HL","Hecla Mining Company","2.58","$1.24B","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/hl",
"HL^B","Hecla Mining Company","55.3107","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/hl^b",
"HEI.A","Heico Corporation","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hei.a",
"HEI","Heico Corporation","75.44","$10.03B","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/hei",
"HSII","Heidrick & Struggles International, Inc.","31.85","$603.83M","1999","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/hsii",
"HELE","Helen of Troy Limited","133.95","$3.54B","n/a","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/hele",
"HMNY","Helios and Matheson Analytics Inc","0.0161","$26.86M","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/hmny",
"HSDT","Helius Medical Technologies, Inc.","9.02","$230M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/hsdt",
"HLX","Helix Energy Solutions Group, Inc.","6.14","$909.66M","n/a","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/hlx",
"HP","Helmerich & Payne, Inc.","49","$5.34B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/hp",
"HMTV","Hemisphere Media Group, Inc.","12.33","$485.12M","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/hmtv",
"HEB","Hemispherx BioPharma, Inc.","0.1901","$9.16M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/heb",
"HNNA","Hennessy Advisors, Inc.","10.72","$84.88M","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/hnna",
"HSIC","Henry Schein, Inc.","74.5","$11.36B","1995","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/hsic",
"HLF","Herbalife Nutrition Ltd.","58.68","$8.57B","2004","Health Care","Other Pharmaceuticals","https://www.nasdaq.com/symbol/hlf",
"HRI","Herc Holdings Inc.","29.48","$840.13M","2016","n/a","n/a","https://www.nasdaq.com/symbol/hri",
"HCXY","Hercules Capital, Inc.","23.98","n/a","2018","n/a","n/a","https://www.nasdaq.com/symbol/hcxy",
"HCXZ","Hercules Capital, Inc.","24.11","n/a","2018","n/a","n/a","https://www.nasdaq.com/symbol/hcxz",
"HTGC","Hercules Capital, Inc.","11.68","$1.13B","2012","n/a","n/a","https://www.nasdaq.com/symbol/htgc",
"HTGX.CL","Hercules Capital, Inc.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/htgx.cl",
"HTBK","Heritage Commerce Corp","12.31","$532.77M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/htbk",
"HFWA","Heritage Financial Corporation","30.49","$1.12B","n/a","Finance","Banks","https://www.nasdaq.com/symbol/hfwa",
"HRTG","Heritage Insurance Holdings, Inc.","15","$399.01M","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/hrtg",
"HCCI","Heritage-Crystal Clean, Inc.","24","$553.2M","2008","Basic Industries","Miscellaneous","https://www.nasdaq.com/symbol/hcci",
"MLHR","Herman Miller, Inc.","31.64","$1.88B","n/a","Consumer Durables","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/mlhr",
"HRTX","Heron Therapeutics, Inc.  ","26.06","$2.03B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/hrtx",
"HT","Hersha Hospitality Trust","16.87","$665.08M","1999","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/ht",
"HT^C","Hersha Hospitality Trust","22.3722","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ht^c",
"HT^D","Hersha Hospitality Trust","20.8","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ht^d",
"HT^E","Hersha Hospitality Trust","20.8546","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ht^e",
"HSY","Hershey Company (The)","106.08","$22.26B","n/a","Consumer Non-Durables","Specialty Foods","https://www.nasdaq.com/symbol/hsy",
"HTZ","Hertz Global Holdings, Inc","14.03","$1.18B","2016","Consumer Services","Rental/Leasing Companies","https://www.nasdaq.com/symbol/htz",
"HSKA","Heska Corporation","92.9","$705.04M","1997","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/hska",
"HES","Hess Corporation","45.69","$13.54B","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/hes",
"HES^A","Hess Corporation","51.85","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hes^a",
"HESM","Hess Midstream Partners LP","18.58","$1.01B","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/hesm",
"HPE","Hewlett Packard Enterprise Company","13.8","$19.3B","2015","Technology","Computer Manufacturing","https://www.nasdaq.com/symbol/hpe",
"HXL","Hexcel Corporation","58.22","$5.01B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/hxl",
"HX","Hexindai Inc.","2.52","$123.25M","2017","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/hx",
"HFFG","HF Foods Group Inc.","12.8","$283.74M","2017","Consumer Non-Durables","Food Distributors","https://www.nasdaq.com/symbol/hffg",
"HF","HFF, Inc.","33.49","$1.31B","2007","Consumer Services","Real Estate","https://www.nasdaq.com/symbol/hf",
"HIBB","Hibbett Sports, Inc.","16.2","$296.23M","1996","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/hibb",
