Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
ATU,Actuant Corporation,21.26,$1.3B,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/atu
AYI,"Acuity Brands, Inc. ",116.67,$4.68B,n/a,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ayi
GOLF,Acushnet Holdings Corp.,21.83,$1.63B,2016,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/golf
ADMS,"Adamas Pharmaceuticals, Inc.",9.21,$251.76M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,2.45,$115.86M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp
ADX,"Adams Diversified Equity Fund, Inc.",12.65,$1.28B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adx
PEO,"Adams Natural Resources Fund, Inc.",15.22,$441.31M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/peo
AE,"Adams Resources & Energy, Inc.",40.42,$170.48M,n/a,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/ae
ADAP,Adaptimmune Therapeutics plc,5.72,$598.14M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap
ADUS,Addus HomeCare Corporation,66.12,$866.06M,2009,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",1.45,$14.94M,n/a,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey
AGRO,Adecoagro S.A.,7.12,$829.87M,2011,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/agro
IOTS,Adesto Technologies Corporation,4.85,$142.76M,2015,Technology,Semiconductors,https://www.nasdaq.com/symbol/iots
ADIL,"Adial Pharmaceuticals, Inc",6.4,$43M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adil
ADILW,"Adial Pharmaceuticals, Inc",0.6704,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adilw
ADNT,Adient plc,15.18,$1.42B,2016,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adnt
ADMA,ADMA Biologics Inc,2.95,$136.74M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adma
ADBE,Adobe Inc.,226.19,$110.41B,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe
ADOM,"ADOMANI, Inc.",0.304,$22.11M,2017,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adom
ADT,ADT Inc.,6.67,$5.12B,2018,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/adt
ATGE,Adtalem Global Education Inc.,48.21,$2.83B,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/atge
ADTN,"ADTRAN, Inc.",11.26,$536.54M,1994,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/adtn
ADRO,"Aduro Biotech, Inc.",2.93,$232.65M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adro
AAP,Advance Auto Parts Inc,158.81,$11.58B,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/aap
ADSW,"Advanced Disposal Services, Inc.",23.78,$2.11B,2016,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/adsw
WMS,"Advanced Drainage Systems, Inc.",24.6,$1.41B,2014,Capital Goods,Containers/Packaging,https://www.nasdaq.com/symbol/wms
ADES,"Advanced Emissions Solutions, Inc.",10.69,$212.9M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades
AEIS,"Advanced Energy Industries, Inc.",42.99,$1.65B,1995,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeis
AMD,"Advanced Micro Devices, Inc.",19,$18.99B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amd
ASIX,AdvanSix Inc.,26.51,$790.07M,2016,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/asix
ADXS,"Advaxis, Inc.",0.2794,$19.42M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adxs
AVK,Advent Claymore Convertible Securities and Income Fund,12.86,$443.99M,2003,n/a,n/a,https://www.nasdaq.com/symbol/avk
ADVM,"Adverum Biotechnologies, Inc.",3.56,$223.81M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/advm
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,19.2,$2.88M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwmc
DWSH,AdvisorShares Dorsey Wright Short ETF,28.9358,$13.74M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwsh
ACT,AdvisorShares Vice ETF,21.75,$11.42M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/act
ACM,AECOM,27.74,$4.34B,2007,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/acm
AEGN,Aegion Corp,17.32,$559.68M,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/aegn
AGLE,"Aeglea BioTherapeutics, Inc.",8.42,$201.76M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agle
AEB,Aegon NV,20.43,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeb
AED,Aegon NV,25.43,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aed
AEG,Aegon NV,4.81,$9.72B,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeg
AEH,Aegon NV,25.41,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeh
AEHR,Aehr Test Systems,1.44,$32.03M,1997,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aehr
AMTX,"Aemetis, Inc",0.6895,$14.03M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amtx
AER,Aercap Holdings N.V.,41.8,$6.14B,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aer
AERI,"Aerie Pharmaceuticals, Inc.",37.76,$1.72B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/aeri
ACY,AeroCentury Corp.,9.62,$14.87M,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/acy
HIVE,"Aerohive Networks, Inc.",3.33,$185M,2014,Technology,EDP Services,https://www.nasdaq.com/symbol/hive
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",33.9,$2.65B,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/ajrd
AVAV,"AeroVironment, Inc.",68.37,$1.64B,2007,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/avav
ARPO,"Aerpio Pharmaceuticals, Inc.",2.125,$86.25M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/arpo
AEZS,AEterna Zentaris Inc.,3.41,$56.06M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aezs
AEMD,"Aethlon Medical, Inc.",1.4765,$27.05M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/aemd
GNMX,"Aevi Genomic Medicine, Inc.",0.2184,$14.15M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/gnmx
AMG,"Affiliated Managers Group, Inc.",100.65,$5.3B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/amg
AFMD,Affimed N.V.,3.28,$204.76M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/afmd
AFL,Aflac Incorporated,44.92,$34.2B,n/a,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/afl
MITT,"AG Mortgage Investment Trust, Inc.",16.83,$483.75M,2011,n/a,n/a,https://www.nasdaq.com/symbol/mitt
MITT^A,"AG Mortgage Investment Trust, Inc.",25.1219,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^a
MITT^B,"AG Mortgage Investment Trust, Inc.",24.94,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^b
AGCO,AGCO Corporation,57.55,$4.51B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/agco
UAVS,"AgEagle Aerial Systems, Inc.",0.5,$5.8M,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/uavs
AGEN,Agenus Inc.,2.97,$356.39M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agen
AGE,"AgeX Therapeutics, Inc.",3.54,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/age
AGRX,"Agile Therapeutics, Inc.",0.78,$26.81M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agrx
A,"Agilent Technologies, Inc.",65.46,$20.85B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/a
AGYS,"Agilysys, Inc.",14.55,$342.34M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/agys
AGIO,"Agios Pharmaceuticals, Inc.",46.92,$2.73B,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agio
AGMH,AGM Group Holdings Inc.,27.32,$907.46M,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/agmh
AGNC,AGNC Investment Corp.,17.94,$9.36B,2008,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,25.32,$8.77B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncb
AGNCN,AGNC Investment Corp.,25.46,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncn
AEM,Agnico Eagle Mines Limited,40.49,$9.5B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,58.7,$2.02B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/adc
AGFS,"AgroFresh Solutions, Inc.",3.81,$192.17M,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",0.1413,n/a,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfsw
ALRN,"Aileron Therapeutics, Inc.",1.0374,$15.3M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alrn
AIMT,"Aimmune Therapeutics, Inc.",24.27,$1.5B,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aimt
AIRI,Air Industries Group,0.789,$21.89M,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/airi
AL,Air Lease Corporation,31.98,$3.55B,2011,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/al
APD,"Air Products and Chemicals, Inc.",161.61,$35.48B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/apd
AIRT,"Air T, Inc.",27.5,$55.81M,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airt
ATSG,"Air Transport Services Group, Inc",22.25,$1.31B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/atsg
AYR,Aircastle Limited,18.51,$1.41B,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/ayr
AIRG,"Airgain, Inc.",10.17,$100.83M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/airg
AMCN,AirMedia Group Inc,0.297,$18.66M,2007,Technology,Advertising,https://www.nasdaq.com/symbol/amcn
AKS,AK Steel Holding Corporation,2.56,$807.79M,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/aks
AKAM,"Akamai Technologies, Inc.",59.38,$9.67B,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/akam
AKTX,Akari Therapeutics Plc,1.79,$27.31M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aktx
AKCA,"Akcea Therapeutics, Inc.",29.7,$2.65B,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akca
AKBA,"Akebia Therapeutics, Inc.",6.04,$616.8M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akba
AKER,Akers Biosciences Inc.,1.19,$14.84M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/aker
AKRX,"Akorn, Inc.",3.7,$464.32M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akrx
AKTS,"Akoustis Technologies, Inc.",5.72,$170.31M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/akts
ALP^Q,Alabama Power Company,24.5565,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/alp^q
ALG,"Alamo Group, Inc.",76.61,$899.04M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/alg
AGI,Alamos Gold Inc.,3.79,$1.48B,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/agi
ALRM,"Alarm.com Holdings, Inc.",51.43,$2.47B,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/alrm
ALK,"Alaska Air Group, Inc.",60,$7.4B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/alk
ALSK,"Alaska Communications Systems Group, Inc.",1.62,$86.16M,1999,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/alsk
AIN,Albany International Corporation,62.46,$2.01B,n/a,Basic Industries,Textiles,https://www.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,76.24,$8.1B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/alb
ALAC,Alberton Acquisition Corporation,9.75,$143.23M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alac
ALACR,Alberton Acquisition Corporation,0.26,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacr
ALACU,Alberton Acquisition Corporation,10.09,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacu
ALACW,Alberton Acquisition Corporation,0.13,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacw
ALBO,"Albireo Pharma, Inc.",25.39,$303.92M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/albo
ABDC,Alcentra Capital Corp.,6.88,$93M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abdc
AA,Alcoa Corporation,28.34,$5.29B,2016,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/aa
ALDR,"Alder BioPharmaceuticals, Inc.",11.77,$804.2M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldr
ALDX,"Aldeyra Therapeutics, Inc.",9.78,$256.67M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldx
ALEX,"Alexander & Baldwin, Inc.",19.42,$1.4B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alex
ALX,"Alexander&#39;s, Inc.",305.87,$1.56B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alx
ARE,"Alexandria Real Estate Equities, Inc.",113.44,$12.2B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/are
ARE^D,"Alexandria Real Estate Equities, Inc.",33.355,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/are^d
AXU,Alexco Resource Corp,1.01,$109.08M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/axu
ALXN,"Alexion Pharmaceuticals, Inc.",106,$23.65B,1996,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alxn
AQN,Algonquin Power & Utilities Corp.,10.1,$4.88B,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqn
AQNA,Algonquin Power & Utilities Corp.,25.4,n/a,2018,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqna
BABA,Alibaba Group Holding Limited,139.75,$362.26B,2014,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/baba
ALCO,"Alico, Inc.",30.82,$229.76M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",186.71,$14.93B,2001,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",0.9,$63.07M,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alim
ALO,Alio Gold Inc.,0.99,$83.86M,2011,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/alo
ALYA,Alithya Group inc.,2.86,$138.44M,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/alya
ALJJ,"ALJ Regional Holdings, Inc.",1.35,$51.34M,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/aljj
ALKS,Alkermes plc,30,$4.66B,1991,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alks
ALLK,Allakos Inc.,47.26,$1.99B,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/allk
Y,Alleghany Corporation,624.05,$9.26B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/y
ATI,Allegheny Technologies Incorporated,22.61,$2.84B,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/ati
ABTX,"Allegiance Bancshares, Inc.",34.75,$758.49M,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/abtx
ALGT,Allegiant Travel Company,108.09,$1.75B,2006,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/algt
ALLE,Allegion plc,79.5,$7.56B,2013,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/alle
ALGR,Allegro Merger Corp.,9.79,$186.6M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algr
