"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"MBTF","M B T Financial Corp","9.73","$224.04M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/mbtf",
"MTB","M&T Bank Corporation","148.28","$20.81B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/mtb",
"MTB^","M&T Bank Corporation","1001.01","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mtb^",
"MTB^C","M&T Bank Corporation","1011","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mtb^c",
"MDC","M.D.C. Holdings, Inc.","29.91","$1.69B","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/mdc",
"MHO","M/I Homes, Inc.","22.85","$638.06M","1993","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/mho",
"MCBC","Macatawa Bank Corporation","9.84","$334.7M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/mcbc",
"MAC","Macerich Company (The)","44.23","$6.24B","1994","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/mac",
"CLI","Mack-Cali Realty Corporation","19.56","$1.77B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/cli",
"MFNC","Mackinac Financial Corporation","13.5","$144.62M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/mfnc",
"MTSI","MACOM Technology Solutions Holdings, Inc.","14.68","$957.02M","2012","Technology","Semiconductors","https://www.nasdaq.com/symbol/mtsi",
"MFD","Macquarie First Trust Global","9.61","$82.14M","2004","n/a","n/a","https://www.nasdaq.com/symbol/mfd",
"MGU","Macquarie Global Infrastructure Total Return Fund Inc.","19.22","$239.64M","2005","n/a","n/a","https://www.nasdaq.com/symbol/mgu",
"MIC","Macquarie Infrastructure Corporation ","38.44","$3.29B","2004","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/mic",
"BMA","Macro Bank Inc.","46.9","$3.14B","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bma",
"MGNX","MacroGenics, Inc.","13.3","$562.05M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/mgnx",
"M","Macy&#39;s Inc","29.38","$9.03B","n/a","Consumer Services","Department/Specialty Retail Stores","https://www.nasdaq.com/symbol/m",
"MCN","Madison Covered Call & Equity Strategy Fund","6.38","$133.64M","2004","n/a","n/a","https://www.nasdaq.com/symbol/mcn",
"MDGL","Madrigal Pharmaceuticals, Inc.","112.04","$1.72B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/mdgl",
"MAG","MAG Silver Corporation","8","$684.32M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/mag",
"MAGS","Magal Security Systems Ltd.","4.66","$107.38M","1993","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/mags",
"MGLN","Magellan Health, Inc.","57.53","$1.4B","n/a","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/mgln",
"MMP","Magellan Midstream Partners L.P.","59.14","$13.5B","n/a","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/mmp",
"MGTA","Magenta Therapeutics, Inc.","6.14","$203.55M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/mgta",
"MGIC","Magic Software Enterprises Ltd.","7.72","$376.41M","1991","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/mgic",
"MGA","Magna International, Inc.","45.54","$15.23B","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/mga",
"MX","MagnaChip Semiconductor Corporation","6.5","$225.04M","2011","Technology","Semiconductors","https://www.nasdaq.com/symbol/mx",
"MNGA","MagneGas Applied Technology Solutions, Inc.","0.2448","$33.71M","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/mnga",
"MGY","Magnolia Oil & Gas Corporation","11.88","$2.97B","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/mgy",
"MGY.WS","Magnolia Oil & Gas Corporation","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mgy.ws",
"MGYR","Magyar Bancorp, Inc.","12.25","$71.3M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/mgyr",
"MH^A","Maiden Holdings, Ltd.","11.29","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mh^a",
"MH^C","Maiden Holdings, Ltd.","9.6","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mh^c",
"MH^D","Maiden Holdings, Ltd.","9.3","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mh^d",
"MHLA","Maiden Holdings, Ltd.","16.52","n/a","2016","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/mhla",
"MHLD","Maiden Holdings, Ltd.","1.62","$134.37M","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/mhld",
"MHNC","Maiden Holdings, Ltd.","20.73","n/a","2013","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/mhnc",
"MAIN","Main Street Capital Corporation","34.87","$2.13B","2007","n/a","n/a","https://www.nasdaq.com/symbol/main",
"MMD","MainStay MacKay DefinedTerm Municipal Opportunitie","19.52","$538.01M","2012","n/a","n/a","https://www.nasdaq.com/symbol/mmd",
"MJCO","Majesco","7.16","$262.53M","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/mjco",
"MMYT","MakeMyTrip Limited","24.54","$2.5B","2010","Consumer Services","Transportation Services","https://www.nasdaq.com/symbol/mmyt",
